short_description,category_list
RevoluSun Smart Home is a renewables & environment company that provides energy efficiency and lifestyle improvement products.,"Electronics,Energy,Lifestyle,Renewable Energy"
A Data-Products Company - We put 'Smart' in applications.,NULL
"The Business Woman Media is a webTV show, podcast channel, and blog aimed at professional women who are in search of career success.","Advertising,Internet,News,Podcast,Publishing"
 Elevator Controls is a provider of elevation control solutions.,"Electronics,Manufacturing"
Reggio designs/manufactures high quality metal grilles for commercial and residential buildings across the USA.,"Building Material,Manufacturing"
Clinique du Cap d'Or is a privately held company that operates as a retirement home.,"Hospitality,Retirement"
Azbil BioVigilantŒædevelops technologies for rapid microbial monitoring methods (RMM) and the inventor of Instantaneous Microbial Detection.,Biotechnology
"PDRVC is  a global, technology-focused investment firm pursuing the most promising young startups and ideas.",Venture Capital
Pharmaceutical Manufacturing Research Services is a full-service contract manufacturer capable of handling all aspects of your project,"Biotechnology,Pharmaceutical,Therapeutics"
Addressograph Bartizan is the provider of credit card imprinters and related supplies.,"Credit Cards,Manufacturing,Product Design"
Fermata Energy is bringing together electric vehicles and the electricity grid.,"Electric Vehicle,Energy"
The Angel Capital Association is the leading professional and trade association supporting the success of angel investors.,"Angel Investment,Non Profit,Venture Capital"
Optimizes your website for getting and keeping clients.,"Consumer,Content,Service Industry"
"Fishing Outfitters, Restaurant, Fly Fishing, Lodging, Fishing Equipment, Tackle Shop, Fish Cleaning, Hotel, Tavern, Bar","Food and Beverage,Leisure,Lifestyle"
"Movial Applications, a privately held client developer for IP communications services.",Software
HoneyComb Inventions enhances the duration of power back-up supplies of healthcare facilities.,"Health Care,Power Grid"
A Social Acceleration Company,Advertising
Victor & Victor,
"Flowz is a SaaS tool that provides a solution to record the information around your organisation, making it GDPR Compliant. ","Information Services,Information Technology"
TeqStudio is a software development company for web and interfaces and business building.,"E-Commerce,Enterprise Software,SEO"
Blanchard and Calhoun Real Estate Company is a real estate company that provides mortgage and insurance services.,Real Estate
Hotel Technology Solutions is a company that was acquired by XETA Technologies in 2010,"Hospitality,Information Technology,Software"
Net Aspects is a provider of software and web solutions for businesses across the world.,"CRM,SaaS,SEO,Software,Web Development"
"The Athletes Network is services to create an online community , lawyers, doctors, teachers, firefighters,.","E-Commerce,Education,Humanitarian,Social Media,Sports"
CTV&OTT ad monetization platform for publishers,NULL
LG Design Stone specializes in fabricati,"Manufacturing,Product Design,Real Estate"
Callista Private Equity GmbH is specialized on acquisitions of loss-making Group subsidiaries.,Financial Services
Design and decoration of apartments,
Pix Perfect is a photo community of photographers and photography-enthusiast as well as affordable photography services and products.,Communities
HealthHNBT provides important information about health.,"Health Care,Information Services,Information Technology,Wellness"
"Venta y distribucií_n online de accesorios, complementos y productos para animales domí©sticos, perros, gatos y mascotas en Madrid.","Consumer Goods,Online Portals,Pet"
Early Stage Tech Investments,
Providing daily vital monitoring & live video-based telehealth services to improve patient outcomes and reduce hospital readmissions,"Health Care,Information Technology"
"Seedr allows you to watch movies, listen to music, or read anything in your torrent library directly from the cloud on any device.","Internet,Music,Software"
"Dr. Linda Salvin is famous radio psychic and spiritual healer having more then 20 years of experience in Los Angeles, CA.",Health Care
"Inventus Power, formerly ICCNexergy + Palladium Energy, is a single source provider of customized power systems.","Energy,Manufacturing,Solar"
"ZipHub helps consumers save extra money, merchants to increase profits, and charities to receive much needed donations.","Advertising,E-Commerce,Internet"
"Indie Video Game Company based in Birmingham, England, UK","Internet,iOS,Video Games"
BHS Foodservice Solutions offeres both independent and institutional operations in the foodservice industry.,Food Processing
Fine art collection,
AlphaEOS love our home and the homes in which we move every day.,Real Estate
Providing tools to support and sell your indie magazine.,"Android,E-Commerce,Internet,iOS,Publishing"
In a world where sustainability and corporate social responsibility are starting to become mainstream business practices.,Communities
Online Social Market Place Platform,"E-Commerce,Internet,Location Based Services"
Sisters of St. Joseph of Lyons to promote the most perfect unity and love of God among ourselves and toward every kind of neighbor.,"Communities,Lifestyle"
AgShift is designing world's most advanced autonomous food inspection system using deep learning,"Information Technology,Software"
Aclarity Systems is a San Francisco IT company offering remote video monitoring solutions along with armed security patrol.,"Information Technology,Security"
Swan Brook is a home health care company that provides personal care assistance to senior adults.,"Home Health Care,Health Care,Wellness"
LeCab is a private transportation service offering cab services with flexible booking options via a mobile app and the web.,"Automotive,Mobile Apps,Public Transportation,Transportation"
Ski Transfer Finder is a transfer price comparison and booking service for the ski transfer industry.,"Financial Services,Internet"
"ApiTech is a Turkish software company focused on developing mobile apps and software for iOS, Android, and Windows phones and devices.",Software
VCA VETERINARY REFERRAL ASSOCIATES provides a full range of general veterinary medical and surgical services.,Health Care
Aarsh InfoTech is a renowned name in Ahmedabad when it comes to customized digital and IT solution providers.,"Information Technology,Web Design,Web Development"
A no-nonsense personal injury and criminal defense law firm which represents clients in Baltimore and surrounding areas,Legal
"The Care Watch is a multipurpose alarm button in the shape of a watch, which creates a voice connection directly in case of emergency.",Health Care
The Game Crafter is a print on demand board game publisher. We allow anyone to make their own board game or card game through our website!,Printing
La Misií_n de la Sirena is to satisfy the needs of our customers and be the reference in frozen food.,Food and Beverage
Reputation Management for Restaurants,"Analytics,Photography,Reputation,Restaurants"
SailTime is a travel & tourism company that offers fractional sailing services.,Travel
The AgentOwned Realty Co. ~ Foothills Group Inc. is a real estate firm based in South Carolina.,Real Estate
"A structured vertical search company. Mirchee runs a number of vertical search engines,","Search Engine,Vertical Search"
At the core of Paintbox catering services and bistro operations is our social mandate - to provide training and career path opportunities,"Communities,Consulting,Education,Food and Beverage,Legal,Small and Medium Businesses"
"Fusion Group specialises in portfolio management and advisory services for institutional, corporate and individual clients globally.","Advice,Asset Management,Finance,Financial Services,Risk Management,Wealth Management"
"Colonial Cafe is a restaurant providing breakfast, brunch, lunch, and dinner services.",Food and Beverage
Intelligent Quantum Software Development tools,"Cloud Computing,Developer Tools,Information Technology,Quantum Computing,Software"
"Eligible develops APIs for medical eligibility, claims, and payments.","Developer APIs,Health Care,Information Technology,Payments"
Royce Communications is a building solutions and services that solve its customers infrastructure problems and enable Company.,"Infrastructure,Building Material,Information Technology"
Startup 2.0 is a internet startup company that combines big data to help with startups and ventures in the Industrial Internet.,"Finance,Incubators,Industrial"
A proprietary e-learning platform with innovative courses for Iberoamerica,"E-Learning,Education,Language Learning"
OVULA is a mobile apps android company located in Jakarta.,"iOS,Mobile Apps,Android"
OffsiteNOC is a provider of reliable remote server support & server management services.,"Information Services,SEO,Web Hosting"
"Restaurants in Summerville, SC",Restaurants
POP Yachts is a marketing and advertising company specializing in electronic media and internet marketing services.,"Advertising,Marketing"
MyRefer is the referral adopted activation service.,Internet
The Village Bank is a community bank based in Newton and Wayland.,"Banking,Communities"
myproducts.es is a company that was acquired by Onyougoin in 2012.,"E-Commerce,Internet"
Mitsui Ocean Development & Engineering,"Information Technology,Software"
Twittalking is a technology company which provides social media services.,"Advertising,Social Media"
Eurofins Agroscience Services Ltd. conducts and provides field and laboratory studies.,Professional Services
"A video streaming and a video hosting platform like no other, focusing on things that matter; our creators and our viewers.",
"SLC's fastest growing marketing & sales firm, committed to providing both a superior customer experience & national expansion for our client","Advertising,Consulting,Information Technology,Marketing"
ReviewBuzz Makes It Easy To Get 5-Star Reviews On The Sites That Matter.,"Home Services,Online Portals,Software"
"NPM offers companies liquidity solutions while remaining private through tender offer programs, buybacks, auctions or block trades.",Finance
"Suiza Dairy Corp is a food & beverages company offering milk products, juices, and drinks.","Food and Beverage,Manufacturing"
Blue Skies Drone Rental their business is to get the latest and most capable drones into your hands at a fair and reasonable price.,"Computer,Drones,Robotics,Travel"
The company is operated and managed under its own set of values.,"Information Technology,Transportation"
"Circle Oil engages in the exploration, development, and production of oil and gas properties in North Africa.",Oil and Gas
Advisory to corporates and startups for the mobility revolution,Consulting
"Team Fenex is a designers, manufacturer's, and up-fitters of trailers and truck bodies equipped for Fiber-optic splicing.",Manufacturing
VeriSoft InfoSystems Private Limited operates as a software quality assurance and testing company.,Software
Shwe Than Lwin Media is a media company.,Broadcasting
AffiliateBay is cool affiliate marketing blogs in the noisy digital space.,"Affiliate Marketing,Blogging Platforms,Internet,Marketing"
Plant-Based Food and Beverage Company in San Francisco,"Agriculture,Food and Beverage"
The Scottsdale Resort at McCormick Ranch is a hospitality company offering resort and lodging services.,Leisure
"FNF Construction, Inc is a construction company specializing in highway and airport construction.",Real Estate
Rave Communications is a full-service marketing communications agency.,"Advertising,Marketing"
"More then just a collection of links. Netrocket is a bookmark scheduling service that allows you to collect, edit, and schedule your",Internet
Energy Station Group develops and markets innovative solutions to problems of access to energy in remote areas of Africa.,Energy
A big-data storage company currently in stealth mode.,"Big Data,Information Services,Information Technology"
Trendy sweets and gift shop that lives at the intersection of attitude and fun.,"E-Commerce,Food and Beverage,Food Processing"
"No Cash is a club that offers discounts, offers, and awards for students engaged in technical education.",Education
Digital Harmony Australia Pty Ltd is a music production company.,Music
Interneta is obsessed to make all people connected to internet.,Internet
Early stage VC fund.,
Funding doctors providing life-changing medical care,"Crowdfunding,Financial Services,Medical"
"Lewis Media is service media agency in Richmond, VA. Just like media.","Consulting,Marketing,Social Media"
"MacDonald & Owen Lumber specializes in wood work,  hardwood industry and other related services.","Building Material,Construction,Manufacturing,Wood Processing"
nGame is a SaaS-based learning engine.,SaaS
ImTheirWebGuy.com is a Developer of websites.,"Web Design,Web Development"
Apaleo gives forward-thinking hotels the freedom to connect the technology they need to run their business without integrations pains.,"Hospitality,Information Technology,Software"
"House of Moloko is a dedicated online Homes & Interiors platform connecting consumers, interior professionals and brands where: - Consumers",Social Media
Oryzon Genomics develops diagnostic and therapeutic tools based on identified biomarker genes and proteins.,"Biotechnology,Genetics,Medical,Therapeutics"
American Health Care Software is a national software solution provider to the healthcare industry ,"Health Care,Software"
Nordic Simulators financially strong in Finland and a certified corporation which specializes in delivering medical simulation centers.,Health Care
West Street Infrastructure Partners is an affiliate of Goldman Sachs.,
"Agrinostics has provided specialty testing products and services for pasture, turf, cereals and grass seeds","Agriculture,Chemical,Food and Beverage"
To develop and deliver leading customer-focused solutions to the Climate Control Industry.,"Machinery Manufacturing,Marketing,Supply Chain Management"
"Fancast is an online media guide for TV shows and movies, facilitating full length clips of professional content.","Digital Media,Media and Entertainment,TV"
Brooklyn Bay University is globally accredited online university serving through highly competitive learning environment.,
Millennium Group is an access control expertise which offers web-based access control systems and advanced security systems.,Security
InspiriaMedia Group is a strategic media buying and inbound marketing firm.,"Advertising,Marketing"
Hint Media is a broadcasting and media production company.,"Social Media,Internet Radio,Advertising"
"Boltendahl is a private and independent international investment boutique acting in the M&A, Private Equity and Venture Capital verticals.","Banking,Venture Capital"
Cloudschool.org is a free teaching platform. It's the easiest way for anyone to create and deliver courses online.,"Education,Online Portals,Training"
Accudynamics has over 25 years' experience developing and manufacturing complex parts and assemblies.,"Machinery Manufacturing,Manufacturing"
An Employee Owned company.,"Financial Services,Insurance"
Transvision,
One of Australia's most successful search engine optimisation experts.,Search Engine
Entropica Labs build quantum computing software and algorithms for computational genomics and the life sciences.,"Quantum Computing,Software"
Professional Proofreading and Editing Services,"Education,Events,Publishing"
"At Merrill Tool & Machine our capabilities allow machining of parts as small as a half-pound to those as large as 100,000 pounds.",Manufacturing
Two dedicated software engineers running their own race on the web.,Association
SuluFiti Africa is a research firm based in Nairobi Kenya offering research and consultancy services for entrepreneurs and companies.,Consulting
The largest remote yoga teacher training company in the world.,"Education,Fitness,Health Care"
Bright Power provides practical energy management and solar energy solutions.,"Energy,Energy Management,Solar"
"Delta Coatings & Linings, Inc. has been an industrial coating applications leader in the chemical coatings industry.  ",Manufacturing
Cape Cod Healthcare offers a comprehensive array of medical services delivered by top-notch teams of healthcare providers.,Health Care
Sackler School of Medicine is a school.,
The Lincoln Journal Star is a provider of news and information in Southeast Nebraska.,News
Limseo is a leading provider of Laboratory Information Management Systems (LIMS) for commercial and public sector organisations. ,"Information Technology,Software"
Fuji Investment Management is an investment firm.,Finance
Mt San Jacinto College is a school in San Jacinto.,
Solutions Bfc is a electronics manufacturing company located in Laval.,"Electronics,Manufacturing,Electrical Distribution"
"Boomerang Digital makes SpotMe, the best iPhone app and web service for sharing expenses in groups.","iOS,Payments"
High-quality mobile development solution,"Android,Apps,iOS,Mobile"
"CloudAptitude is a social media managing tool that flags and alerts its users of previous detrimental comments, posts, and tweets.","Social Media,Software"
WORKPORT is a Recruiting services company.,"Advertising,Recruiting,Staffing Agency"
"Image Sensing Systems, Inc., a technology company, specializes in software-based detection solutions for the intelligent transportation",Software
Shipsi empowers any retailer with the ability to offer an easy äóìInstant Deliveryäóù option on their checkout page.,"E-Commerce,Information Services,Information Technology,SaaS"
"Sprague Gibbons is a full-service advertising, marketing and design agency.","Direct Marketing,Advertising,Marketing"
Digital Niche is an independent online advertising network in Australia within four core vertical networks.,"Ad Network,Advertising,Marketing"
"We are honored to be a top Shopify Plus preferred partner. Here at Simplistic, creating your online store is quick and simple.","E-Commerce,Internet"
"2d animation company, animation company, animation videos, ","Advertising,Marketing,Music,Video"
"The HeimProfis are the mediation platform, which quickly and easily merge professionals and searchers in an artisan .",Internet
"SmartLinc, Inc provides software that optimizes the shipping process by allowing users to select the best carrier for their shipments.","Internet,Software"
"Observer Solutions, a boutique China market research and advisory firm, supports clients across each stage of their China market strategy.","Advice,Consulting,Service Industry"
rimandab e cig provides a wide range of electronic cigarette starter kits such as jet and V2 cigs and reviews to for its users.,"E-Commerce,Electronics,Hardware"
Talent Retriever is a staffing and recruiting company providing intelligence hiring solutions.,Recruiting
"Vanilla Elephant is a social network for independent artists who can interact with fans and sell music, videos, and ringtones.","Music,Video"
Motown Automotive Distributing Co. operates as a full-line undercar and underhood auto parts warehouse.,Automotive
"Donlen is a full service fleet management company, providing services for the widest range of assets in the industry.",Service Industry
"Search Colleges, Schools, Universities & get guidance on career, admissions, entrance test and scholarships.","Education,Higher Education,Universities"
"Lecta develops, manufactures and sells sustainable products, in strict compliance with the most rigorous environmental and energy.",Paper Manufacturing
ClearMesh Networks offers wireless mesh network equipment for video surveillance and media-rich applications.,Public Relations
"Tech, Intelligent Transport Systems, Operations Research","Software,Transportation"
"TheTalkList is a U.S. company based in San Diego, California.","E-Learning,Education"
"Morgan & French create beautiful, individual and meaningful pieces of personalised jewellery..",Jewelry
Diner Jaarkaart is a very successful discount concept for food.,Food and Beverage
SupplyCopia is a provider of a cloud-based Saas purchasing platform designed to reduce costs and have better patient outcomes,"Health Care,Hospital"
"License To Live is about giving you inspiration, encouragement and support as you go through life's journeys",Association
"Matthews Specialty Vehicles, Inc. has been a premier specialty vehicle manufacturer company","Manufacturing,Mobile,Automotive"
River Oaks Fence Company is together a quick little primer on some things you should try to look out for deciding the fence company.,Real Estate
"Code Found is a web design and development agency providing affordable website designing, website development, mobile apps development etc.",iOS
"Fundaí_í£o AIP aims to promote, sponsor and carry out actions aimed at the development of the activities",
Zhongshan Broad Ocean Motor Co is one of mainland China's largest manufactures of AC and DC motors for household appliances.,"Electronics,Manufacturing"
Media Rooms Inc. is a provider and installer of home theater and electronic equipment for home and businesses.,Real Estate
avawilde.com is design and sell products with creative plans and make beautiful products right out of LA for wear and love.,"E-Commerce,Fashion,Social Network"
Pringles manufactures and sells potato- and wheat-based chips.,"Food and Beverage,Manufacturing"
"Keweitai, found in 1997, is a leading high-tech global enterprise in developing and manufacturing safety.",Aerospace
"Provides Internet-based learning and testing for professionals in accounting, insurance, securities, banking, information technology.","Banking,Finance,Financial Services"
CampusCE began providing web-based education management software .,"Education,Software"
"Effect Co., Ltd. is a Fukuoka-based venture company founded in 2012.","Communication Hardware,Content,Recruiting"
CalmFit is real-world stress control programs for high pressure / high performance employee teams.,Human Resources
Nevercenter Labs is the home of experiments.,"Internet,Mobile Apps"
"Aeneas Internet & Telephone is a telecommunications company that provides broadband internet, telephone, and office phone systems.","Internet,Telecommunications"
"STP Investment Services is a financial services firm specializing in office investment operations outsourcing, and fund services.",Financial Services
Midland Computers is a Telford based business to business IT support company.,"Web Hosting,Cloud Computing,Internet"
Zum Guten Heinrich is the most sustainable catering provider in Switzerland.,"Catering,Organic Food"
"Village Talkies is a complete digital media solutions in Bangalore offers video production services to corporate, SMEs, etc.","Advertising,Digital Media,Video"
"Have a family or group who wished to travel America's famous Routes, trails, and highways, in the luxury of an RV.","Service Industry,Travel,Travel Agency"
InteRNA Technologies provides drug discovery and development services.,"Biotechnology,Information Technology,Therapeutics"
Fuller Funeral Homes and Cremation Services offers a variety of funeral services.,"Consumer,Funerals"
Win Win Slots designs social mobile casino games for women.,"Android,Casino,Gambling,Mobile,Video Games"
GFP provides a unique analytical display of data concerning today's world military powers.,"Analytics,Big Data"
Residential Appraisal Software Company.,Software
MicroSale is a point of sale system for restaurants.,"Point of Sale,Software"
FinnSemics Technology Oy is an Electronics company.,"Electronics,Manufacturing"
A family office that makes long term investments in private companies,"Finance,Financial Services,Industrial,Venture Capital"
Bolalob is a news company.,"Digital Media,News,Sports"
June Lead Capital is a private investment firm specialized in private equity investment and venture capital investment.,"Finance,Financial Services"
BorneoBuy.com is an online marketplace to buy and sell a variety of products and services in Malaysia and Indonesia.,"E-Commerce,Marketplace"
Mt. Hood Community College is a school.,
Chop is an unmanned aerial system R&D company,Drones
SDS Software is a Software company.,"Computer,Software,Internet"
Sibu Beauty is a therapeutics company located in Midvale.,"Health Care,Therapeutics,Medical"
Pottorff is an engineering company that manufactures HVAC products.,"Consumer Goods,Manufacturing"
The CareView System is a video monitoring system enabling nursing staff to maintain visual contact with remotely-located patients.,"Digital Entertainment,Health Care,Hospital"
"12 Month Loans permits the contender to suit their expansive needs. Grab more i.e. 12 month payday loans, 3 month payday loans.",Financial Services
Neoscape is an award winning digital marketing and advertising company specializing in 3D visualization and animation services.,"Advertising,Brand Marketing,Digital Marketing,Email Marketing,Marketing,Real Estate,SEO,Social Media,Virtual Reality"
MEGA - map-based project management platform to help environmental organizations implement environmental projects within a global community.,"Collaboration,E-Learning,Education,Environmental Consulting,Gamification,GreenTech,Project Management,Sustainability,Trading Platform"
Tracker Now is the world's first small global embedded item tracking device.,"Computer,Consumer Electronics,Robotics,Software"
Redwood Group is a computer consulting company providing outsourced IT services exclusively designed for small and medium sized businesses.,"Small and Medium Businesses,Computer,IT Management"
"A tech-enabled consulting platform connecting businesses with industry professionals to share knowledge, on-demand.","Consulting,Enterprise Software,Information Services,Information Technology,Market Research,Marketplace,Professional Services,Recruiting"
"Precision Software delivers integrated global logistics and visibility solutions to importers, exporters, 3rd party logistics providers","Logistics,Software,Transportation"
Sirti Sistemi is a privately held company that manufactures infrastructure and equipment for the telecom industry.,"Manufacturing,Telecommunications"
"iSPIRAL Software Solutions Ltd, is a leading provider of custom software and website development solutions.","Information Technology,Software,Web Development"
Media and Consumer Services,
Web-based hiring systems.,"Human Resources,Information Technology,Recruiting"
Gyro Studio is an engineering group that makes various digital contents.,"Software Engineering,Content Creators"
"BioHealthonomics is an R&D biotech&healthcare co. that will develop a product for the treatment and prevention of migraines, PD and AD.","Biotechnology,Health Care,Medical"
ANRC Services is an advanced software company providing training in defense.,"Social Network,Network Security,Computer"
Brightly is a marketplace app where help finds you,"E-Commerce,Human Resources,Mobile,Mobile Advertising,Social Media Marketing"
"Technology Solutions offers automated, customer-centric merchandising software solutions to retailers and manufacturers.","Real Estate,Software"
Southern Cross feeds aims in delivering the high performance of your horse making him stronger and healthier with whole grain nutrition.,Animal Feed
OxF is an online platform that offers a variety of social media marketing tools.,"Finance,Internet,Social Media Marketing"
LAZER RUNNER is a pure physical adrenaline rush!,"Media and Entertainment,Video Games"
TACS offers software products to manage public sector pension funds.,"Information Technology,Software"
Tandemploy develops innovative HR technology for job sharing and flexible working models.,"Enterprise Software,Human Resources,Software"
Cake decorating supplies in Los Angeles,"Bakery,Food and Beverage,Food Processing"
"ICONIX BRAND GROUP is a product management company that specializes in marketing, merchandising, and licensing brand portfolios.","Advertising,Fashion,Marketing"
Online Marketplace for kids' classes and activities.,"Baby,E-Commerce Platforms,Marketplace"
"State Secretariat for Education, Research and Innovation SERI within the Federal Department of Economic Affairs, Education and Research","Education,Government"
The Companyäó»s #1 objective is to acquire oil and gas leases with the best long-term profit potential at the best possible.,"Energy,Energy Efficiency,Oil and Gas"
"EllasSaben is an online community where boys and girls ask questions, and share opinions and experiences to understand each other.","Advice,Communities"
Chattahoochee Valley Community College is a public community college in Phenix City in Alabama.,"Higher Education,Continuing Education,Education,Vocational Education,STEM Education"
Lerner creates high-quality fiction and nonfiction books for children and young adults.,Publishing
ÛÁstanbullabs YazÛ±lÛ±m is a software company that offers cloud-based services.,Software
Textrip provides an on-demand concierge service.,"E-Commerce,Information Technology"
The Duke of Bedford,
"Colab Boulder offers co-working and shared office spaces in Boulder, Colorado.",Incubators
"Roadstar.ai empowers cars and trucks with artificial intelligence, so as to make transportation safer, more enjoyable, more efficient.","Artificial Intelligence,Autonomous Vehicles,Internet of Things,Machine Learning,Robotics"
"Hey,Charlie is an app-based solution to help individuals in recovery for opioid addiction rebuild their social environments.",Health Care
Honda Motor is a Japanese public multinational corporation primarily known as a manufacturer of automobiles and motorcycles.,"Automotive,Machinery Manufacturing,Manufacturing"
"Spyder Trap is a digital experts who design websites, mobile apps, and campaigns.","Advertising,Marketing"
LegalDocs is a one stop shop for all your enterprise/ business related documentation service.,"Business Development,Consulting,Legal,Legal Tech,Software"
Invibio is a proven partner to medical device manufacturers and a leading provider of biomaterial solutions.,"Medical Device,Biotechnology,Dental"
Petenko is a property development and investment company.,"Accounting,Property Management,Real Estate"
Strategic Systems & Technology Corporation is an IT company that provides data tracking solutions.,"Information Technology,Software"
